City,Company Name or Owners's Name,Company Type,building,address,full_address
TORONTO,M. E. Blumhart & Co.,Real Estate:,,712 College,"712 College, Toronto, Ontario, Canada"
TORONTO,A. A. Boggs & Co.,Real Estate:,,649 College,"649 College, Toronto, Ontario, Canada"
TORONTO,J. J. Borebank,Real Estate:,Quebec Bank bldg.,,"Quebec Bank bldg., Toronto, Ontario, Canada"
TORONTO,N. S. Boyd & Co.,Real Estate:,,84 Victoria,"84 Victoria, Toronto, Ontario, Canada"
TORONTO,J. H. Booyle,Real Estate:,,Yonge arc.,"Yonge arc., Toronto, Ontario, Canada"
TORONTO,Jas. Brandon,Real Estate:,,23 Toronto,"23 Toronto, Toronto, Ontario, Canada"
TORONTO,Wm. Brant,Real Estate:,,120 Christie,"120 Christie, Toronto, Ontario, Canada"
TORONTO,R. T. Brown & Son,Real Estate:,,66 Victoria,"66 Victoria, Toronto, Ontario, Canada"
TORONTO,Wm. J. Brown,Real Estate:,,43 Victoria,"43 Victoria, Toronto, Ontario, Canada"
TORONTO,Bryant & Gregson,Real Estate:,,560 Bloor W.,"560 Bloor W., Toronto, Ontario, Canada"
TORONTO,H. G. Buckland,Real Estate:,,32 Adelaide E.,"32 Adelaide E., Toronto, Ontario, Canada"
TORONTO,Burk & Co.,Real Estate:,,28 Toronto,"28 Toronto, Toronto, Ontario, Canada"
TORONTO,Burnand & Spain,Real Estate:,,63 Victoria,"63 Victoria, Toronto, Ontario, Canada"
TORONTO,E. W. D. Butler,Real Estate:,,43 Adelaide,"43 Adelaide, Toronto, Ontario, Canada"
TORONTO,Fred Campbell,Real Estate:,,387 Dupont,"387 Dupont, Toronto, Ontario, Canada"
TORONTO,William Campbell,Real Estate:,,546 Spadina ave.,"546 Spadina ave., Toronto, Ontario, Canada"
TORONTO,Canada Co.,Real Estate:,,1170 Yonge,"1170 Yonge, Toronto, Ontario, Canada"
TORONTO,Canada Landed & National Inv. Co.,Real Estate:,,23,"23, Toronto, Ontario, Canada"
TORONTO,"Canada Sec. Corp., Ltd.",Real Estate:,McKinnon bldg.,,"McKinnon bldg., Toronto, Ontario, Canada"
TORONTO,Canadian Business Exch.,Real Estate:,,43 Victoria,"43 Victoria, Toronto, Ontario, Canada"
TORONTO,"Canadian Land & Sec. Co., Ltd.",Real Estate:,Kent bldg.,,"Kent bldg., Toronto, Ontario, Canada"
TORONTO,"Canadian Pac. Ry. Lands, Traders Bk.",Real Estate:,,,
TORONTO,Caplin & Stoddart,Real Estate:,,Yonge arc.,"Yonge arc., Toronto, Ontario, Canada"
TORONTO,Martin Carpenter,Real Estate:,,311 Spadina ave.,"311 Spadina ave., Toronto, Ontario, Canada"
TORONTO,Henry Carter Co.,Real Estate:,,805 Bathurst,"805 Bathurst, Toronto, Ontario, Canada"
TORONTO,"G. A. Case, Ltd.",Real Estate:,,7 Toronto,"7 Toronto, Toronto, Ontario, Canada"
TORONTO,A. Cash,Real Estate:,,7 Kensington ave.,"7 Kensington ave., Toronto, Ontario, Canada"
TORONTO,J. N. Caswell,Real Estate:,Cont. Life bldg.,,"Cont. Life bldg., Toronto, Ontario, Canada"
TORONTO,C. W. Chadwick,Real Estate:,Lumsden bldg.,,"Lumsden bldg., Toronto, Ontario, Canada"
TORONTO,Chadwick & Rogers,Real Estate:,Lumsden bldg.,,"Lumsden bldg., Toronto, Ontario, Canada"
TORONTO,Arthur W. Chapman & Co.,Real Estate:,Nat. Life Chbrs.,,"Nat. Life Chbrs., Toronto, Ontario, Canada"
TORONTO,R. S. Chappell & Co.,Real Estate:,,1004 Dundas,"1004 Dundas, Toronto, Ontario, Canada"
TORONTO,Cheeseworth & Co.,Real Estate:,,716 Bathurst,"716 Bathurst, Toronto, Ontario, Canada"
TORONTO,"J. H. Chisholm, Ltd.",Real Estate:,,8 Temperance,"8 Temperance, Toronto, Ontario, Canada"
TORONTO,City Agency Co.,Real Estate:,,462 Dundas,"462 Dundas, Toronto, Ontario, Canada"
TORONTO,Clements & Stevenson,Real Estate:,,1096 Queen W,"1096 Queen W, Toronto, Ontario, Canada"
TORONTO,C. W. Clinch,Real Estate:,,49½ King W.,"49½ King W., Toronto, Ontario, Canada"
TORONTO,College Rlty. Co.,Real Estate:,,558 College,"558 College, Toronto, Ontario, Canada"
TORONTO,Colonial Inv. & Loan Co.,Real Estate:,,51 King W.,"51 King W., Toronto, Ontario, Canada"
TORONTO,Confidential Rlty. Co.,Real Estate:,,Yonge st. arc.,"Yonge st. arc., Toronto, Ontario, Canada"
TORONTO,"Cook Land Co., Ltd.",Real Estate:,,25 Toronto,"25 Toronto, Toronto, Ontario, Canada"
TORONTO,Crawford & McGaw,Real Estate:,,14 King E.,"14 King E., Toronto, Ontario, Canada"
TORONTO,Crompton & Co.,Real Estate:,,80 Victoria,"80 Victoria, Toronto, Ontario, Canada"
TORONTO,Culp & Baker,Real Estate:,,385 Spadina ave.,"385 Spadina ave., Toronto, Ontario, Canada"
TORONTO,Jas. Davidson,Real Estate:,,1275 Bloor W.,"1275 Bloor W., Toronto, Ontario, Canada"
TORONTO,Davidson & McRae,Real Estate:,,3 Toronto,"3 Toronto, Toronto, Ontario, Canada"
TORONTO,Davies & Unger,Real Estate:,,90 Victoria,"90 Victoria, Toronto, Ontario, Canada"
TORONTO,T. E. Davis & Co.,Real Estate:,,43 Adelaide E.,"43 Adelaide E., Toronto, Ontario, Canada"
TORONTO,J. M. Davison,Real Estate:,,29 Wellington E.,"29 Wellington E., Toronto, Ontario, Canada"
TORONTO,R. C. Davison & Co.,Real Estate:,,1 Adelaide E.,"1 Adelaide E., Toronto, Ontario, Canada"
TORONTO,C. Geo. Dawkes,Real Estate:,,75 Yonge,"75 Yonge, Toronto, Ontario, Canada"
TORONTO,R. W. Dean & Co.,Real Estate:,,355 Roncesvalles ave.,"355 Roncesvalles ave., Toronto, Ontario, Canada"
TORONTO,J. E. Diamond & Co.,Real Estate:,,127 Bay,"127 Bay, Toronto, Ontario, Canada"
TORONTO,Russell G. Dingman,Real Estate:,Can. Life bldg.,,"Can. Life bldg., Toronto, Ontario, Canada"
TORONTO,Dinwoody & Co.,Real Estate:,,38 Vaughan rd.,"38 Vaughan rd., Toronto, Ontario, Canada"
TORONTO,Dominion Brokerage Co.,Real Estate:,,733 Queen E.,"733 Queen E., Toronto, Ontario, Canada"
TORONTO,"Dominion Rlty. Co., Ltd.",Real Estate:,,King & Jordan,"King & Jordan, Toronto, Ontario, Canada"
TORONTO,Howard Douglas,Real Estate:,Mail bldg.,,"Mail bldg., Toronto, Ontario, Canada"
TORONTO,"Dovercourt Land, Bldg. & Sav. Co., Ltd.",Real Estate:,,24 Adelaide E.,"24 Adelaide E., Toronto, Ontario, Canada"
TORONTO,H. C. Duff,Real Estate:,Cont. Life bldg.,,"Cont. Life bldg., Toronto, Ontario, Canada"
TORONTO,Chas. Edwards & Co.,Real Estate:,,34 Victoria,"34 Victoria, Toronto, Ontario, Canada"
TORONTO,A. M. Elliot,Real Estate:,,746 Dovercourt rd.,"746 Dovercourt rd., Toronto, Ontario, Canada"
TORONTO,W. Elliot,Real Estate:,,9 Gwynne ave.,"9 Gwynne ave., Toronto, Ontario, Canada"
TORONTO,Empire Rlty. Agcy.,Real Estate:,,21 Richmond E.,"21 Richmond E., Toronto, Ontario, Canada"
TORONTO,English's Ltd.,Real Estate:,,52 Victoria,"52 Victoria, Toronto, Ontario, Canada"
TORONTO,Evans & McCoppen,Real Estate:,,50 Adelaide E.,"50 Adelaide E., Toronto, Ontario, Canada"
TORONTO,Farmerstead Land Co.,Real Estate:,Confed. Life bld.,,"Confed. Life bld., Toronto, Ontario, Canada"
TORONTO,John D. Farquhar,Real Estate:,,77 Victoria,"77 Victoria, Toronto, Ontario, Canada"
TORONTO,George Faulkner,Real Estate:,,6 Lombard,"6 Lombard, Toronto, Ontario, Canada"
TORONTO,Howard Fitzallen,Real Estate:,,1131 College,"1131 College, Toronto, Ontario, Canada"
TORONTO,E. G. FitzGerald,Real Estate:,,16 Richmond E.,"16 Richmond E., Toronto, Ontario, Canada"
TORONTO,E. & J. Flanagan,Real Estate:,,22 Toronto,"22 Toronto, Toronto, Ontario, Canada"
TORONTO,Fletcher Rlty. Co.,Real Estate:,,906 Bloor W.,"906 Bloor W., Toronto, Ontario, Canada"
TORONTO,Fortier & Walker,Real Estate:,,131 Victoria,"131 Victoria, Toronto, Ontario, Canada"
TORONTO,C. Garfunkel,Real Estate:,,16 Neepawa,"16 Neepawa, Toronto, Ontario, Canada"
TORONTO,F. M. Geale & Co.,Real Estate:,,123 Bay,"123 Bay, Toronto, Ontario, Canada"
TORONTO,"General Agcy. Corp., Ltd.",Real Estate:,,123 Bay,"123 Bay, Toronto, Ontario, Canada"
TORONTO,Geo. D. Gilmore,Real Estate:,,364 Adelaide W.,"364 Adelaide W., Toronto, Ontario, Canada"
TORONTO,Gilpin & Co.,Real Estate:,,43 Victoria,"43 Victoria, Toronto, Ontario, Canada"
TORONTO,John H. Glass,Real Estate:,,321 Margueretta,"321 Margueretta, Toronto, Ontario, Canada"
TORONTO,J. A. Goddard,Real Estate:,,58 Richmond W.,"58 Richmond W., Toronto, Ontario, Canada"
TORONTO,Goulding & Hamilton,Real Estate:,,106 Victoria,"106 Victoria, Toronto, Ontario, Canada"
TORONTO,D. S. Graham,Real Estate:,,205 Yonge,"205 Yonge, Toronto, Ontario, Canada"
TORONTO,Henry Graham & Son,Real Estate:,,43 Victoria,"43 Victoria, Toronto, Ontario, Canada"
TORONTO,J. Graner,Real Estate:,,33 Alice,"33 Alice, Toronto, Ontario, Canada"
TORONTO,Gray & Jardine,Real Estate:,,274 College,"274 College, Toronto, Ontario, Canada"
TORONTO,Miles W. Green,Real Estate:,,14 Richmond E.,"14 Richmond E., Toronto, Ontario, Canada"
TORONTO,R. Greenwood,Real Estate:,,32 Adelaide E.,"32 Adelaide E., Toronto, Ontario, Canada"
TORONTO,D. H. Griffin,Real Estate:,,179 MacDonnell ave.,"179 MacDonnell ave., Toronto, Ontario, Canada"
TORONTO,Gundy & Gundy,Real Estate:,Kent bldg.,,"Kent bldg., Toronto, Ontario, Canada"
TORONTO,M. C. F. Hambly,Real Estate:,,Bloor & Margueretta,"Bloor & Margueretta, Toronto, Ontario, Canada"
TORONTO,R. J. Haley & Co.,Real Estate:,Temple bldg.,,"Temple bldg., Toronto, Ontario, Canada"
TORONTO,Geo. A. Hamilton,Real Estate:,,250 Jarvis,"250 Jarvis, Toronto, Ontario, Canada"
TORONTO,J. H. Hammill & Co.,Real Estate:,,129 Victoria,"129 Victoria, Toronto, Ontario, Canada"
TORONTO,R. G. Hammill,Real Estate:,,131 Victoria,"131 Victoria, Toronto, Ontario, Canada"
TORONTO,A. J. Henderson,Real Estate:,,668 St. Clair ave. W.,"668 St. Clair ave. W., Toronto, Ontario, Canada"
TORONTO,Ed F. Henderson,Real Estate:,,1683 Dundas,"1683 Dundas, Toronto, Ontario, Canada"
TORONTO,S. E. Henderson,Real Estate:,,698 College,"698 College, Toronto, Ontario, Canada"
TORONTO,M. J. Hendrick,Real Estate:,,825 St. Clair ave. W.,"825 St. Clair ave. W., Toronto, Ontario, Canada"
TORONTO,James Hewlett,Real Estate:,,79 Victoria,"79 Victoria, Toronto, Ontario, Canada"
TORONTO,E. T. Hickey,Real Estate:,,1661 Dundas,"1661 Dundas, Toronto, Ontario, Canada"
TORONTO,J. D. Higgins,Real Estate:,,22 Toronto,"22 Toronto, Toronto, Ontario, Canada"
TORONTO,Frederick W. Hill,Real Estate:,,Church & Adelaide,"Church & Adelaide, Toronto, Ontario, Canada"
TORONTO,W. A. Hill & Co.,Real Estate:,,838 College,"838 College, Toronto, Ontario, Canada"
TORONTO,Hill & Baker,Real Estate:,,838 College,"838 College, Toronto, Ontario, Canada"
TORONTO,Hodgins & Co.,Real Estate:,,486 College,"486 College, Toronto, Ontario, Canada"
TORONTO,Fred Holt,Real Estate:,,34 Victoria,"34 Victoria, Toronto, Ontario, Canada"
TORONTO,Hood & Tisdell,Real Estate:,,71 Adelaide E.,"71 Adelaide E., Toronto, Ontario, Canada"
TORONTO,H. G. Hopkirk,Real Estate:,James bldg.,,"James bldg., Toronto, Ontario, Canada"
TORONTO,P. J. Horrocks,Real Estate:,,56 Victoria,"56 Victoria, Toronto, Ontario, Canada"
TORONTO,A. Horton-Bennett,Real Estate:,Kent bldg.,,"Kent bldg., Toronto, Ontario, Canada"
TORONTO,Arthur W. Hughes,Real Estate:,Birkbeck bldg.,,"Birkbeck bldg., Toronto, Ontario, Canada"
TORONTO,Hunt & Stephens,Real Estate:,,43 Victoria,"43 Victoria, Toronto, Ontario, Canada"
TORONTO,W. D. Hutson & Sons,Real Estate:,,43 Victoria,"43 Victoria, Toronto, Ontario, Canada"
TORONTO,Imperial Trust Co. of Canada,Real Estate:,,15 Richmond W.,"15 Richmond W., Toronto, Ontario, Canada"
TORONTO,International Rlty. Co.,Real Estate:,,282 Spadina ave.,"282 Spadina ave., Toronto, Ontario, Canada"
TORONTO,Jenkins & Hardy,Real Estate:,,15½ Toronto,"15½ Toronto, Toronto, Ontario, Canada"
TORONTO,A. C. Jennings & Co.,Real Estate:,,1137 Yonge,"1137 Yonge, Toronto, Ontario, Canada"
TORONTO,J. O. E. Limited,Real Estate:,Kent bldg.,,"Kent bldg., Toronto, Ontario, Canada"
TORONTO,"J. R. Johnston & Co., Ltd.",Real Estate:,Lumsden bldg.,,"Lumsden bldg., Toronto, Ontario, Canada"
TORONTO,Jose & Withers,Real Estate:,,30 Victoria,"30 Victoria, Toronto, Ontario, Canada"
TORONTO,J. A. Kammerer,Real Estate:,,16 King W.,"16 King W., Toronto, Ontario, Canada"
TORONTO,Keers & Mabee,Real Estate:,,345 Roncesvalles ave.,"345 Roncesvalles ave., Toronto, Ontario, Canada"
TORONTO,Wm. Kennedy,Real Estate:,,43 King W.,"43 King W., Toronto, Ontario, Canada"
TORONTO,Kerr R. E. Co.,Real Estate:,,18 Toronto,"18 Toronto, Toronto, Ontario, Canada"
TORONTO,"Labrador Forest Estates, Ltd.",Real Estate:,,59 Yonge,"59 Yonge, Toronto, Ontario, Canada"
TORONTO,John N. Lake,Real Estate:,,114A King W.,"114A King W., Toronto, Ontario, Canada"
TORONTO,C. W. Laker,Real Estate:,,67 Summerhill ave.,"67 Summerhill ave., Toronto, Ontario, Canada"
TORONTO,Jas. A. Lamond,Real Estate:,,838 Bloor W.,"838 Bloor W., Toronto, Ontario, Canada"
TORONTO,Lamport & Ferguson,Real Estate:,Can. Life bldg.,,"Can. Life bldg., Toronto, Ontario, Canada"
TORONTO,W. A. Lawson,Real Estate:,,102 Church,"102 Church, Toronto, Ontario, Canada"
TORONTO,Chas. E. Lee,Real Estate:,,14 Toronto,"14 Toronto, Toronto, Ontario, Canada"
TORONTO,Wm. A. Lee & Son,Real Estate:,,26 Victoria,"26 Victoria, Toronto, Ontario, Canada"
TORONTO,Edmund LeFeuvre,Real Estate:,,152 Bay,"152 Bay, Toronto, Ontario, Canada"
TORONTO,E. F. Leidy,Real Estate:,,1071 Gerrard E.,"1071 Gerrard E., Toronto, Ontario, Canada"
TORONTO,Lemon & Campbell,Real Estate:,,215 Dundas,"215 Dundas, Toronto, Ontario, Canada"
TORONTO,J. B. LeRoy & Co.,Real Estate:,,752 Queen E.,"752 Queen E., Toronto, Ontario, Canada"
TORONTO,A. J. Leslie,Real Estate:,,41 Galley Ave.,"41 Galley Ave., Toronto, Ontario, Canada"
TORONTO,F. E. Leushner,Real Estate:,,75 Yonge,"75 Yonge, Toronto, Ontario, Canada"
TORONTO,E. T. Lightbourn,Real Estate:,,60 Adelaide E.,"60 Adelaide E., Toronto, Ontario, Canada"
TORONTO,Little & Irwin,Real Estate:,Stair bldg.,,"Stair bldg., Toronto, Ontario, Canada"
TORONTO,J. T. Locke & Co.,Real Estate:,,57 Victoria,"57 Victoria, Toronto, Ontario, Canada"
TORONTO,H. Logan,Real Estate:,,84 Victoria,"84 Victoria, Toronto, Ontario, Canada"
TORONTO,Geo. Lumbers & Co.,Real Estate:,,893 Queen W.,"893 Queen W., Toronto, Ontario, Canada"
TORONTO,D. M. McConkey,Real Estate:,,434½ College,"434½ College, Toronto, Ontario, Canada"
TORONTO,Jas. McCurrah,Real Estate:,,Lansdowne ave. & Bloor,"Lansdowne ave. & Bloor, Toronto, Ontario, Canada"
TORONTO,W. N. McEachren & Sons,Real Estate:,,88 Victoria,"88 Victoria, Toronto, Ontario, Canada"
TORONTO,"McGee R. E. Co., Ltd.",Real Estate:,,93 Yonge,"93 Yonge, Toronto, Ontario, Canada"
TORONTO,J. J. McKenny,Real Estate:,,16 Richmond E.,"16 Richmond E., Toronto, Ontario, Canada"
TORONTO,W. O. McTaggart & Co.,Real Estate:,,972 Bloor W.,"972 Bloor W., Toronto, Ontario, Canada"
TORONTO,H. B. MacDonald,Real Estate:,,6 Toronto,"6 Toronto, Toronto, Ontario, Canada"
TORONTO,MacDonald & Roberts,Real Estate:,,39 Adelaide E.,"39 Adelaide E., Toronto, Ontario, Canada"
TORONTO,W. A. MacKenzie & Co.,Real Estate:,Can. Life bldg.,,"Can. Life bldg., Toronto, Ontario, Canada"
TORONTO,Norwood MacLeod,Real Estate:,,34 Victoria,"34 Victoria, Toronto, Ontario, Canada"
TORONTO,Hugh MacMath,Real Estate:,,1394 Queen W.,"1394 Queen W., Toronto, Ontario, Canada"
TORONTO,Macklem & Macklem,Real Estate:,503 McKinnon bld.,,"503 McKinnon bld., Toronto, Ontario, Canada"
TORONTO,M. J. Mallaney,Real Estate:,Janes bldg.,,"Janes bldg., Toronto, Ontario, Canada"
TORONTO,Jas. Manchester,Real Estate:,,1656 Dufferin,"1656 Dufferin, Toronto, Ontario, Canada"
TORONTO,H. S. Mara,Real Estate:,,5 Toronto,"5 Toronto, Toronto, Ontario, Canada"
TORONTO,W. B. Markle,Real Estate:,,34 Adelaide E.,"34 Adelaide E., Toronto, Ontario, Canada"
TORONTO,E. C. Martin,Real Estate:,,169 Wright ave.,"169 Wright ave., Toronto, Ontario, Canada"
TORONTO,A. L. Massey & Co.,Real Estate:,,8 Wellington E.,"8 Wellington E., Toronto, Ontario, Canada"
TORONTO,Maule & McMurrich,Real Estate:,,46 King W.,"46 King W., Toronto, Ontario, Canada"
TORONTO,D. Watson Megaffin,Real Estate:,Dineen bldg.,,"Dineen bldg., Toronto, Ontario, Canada"
TORONTO,Jas. A. Meldrum & Co.,Real Estate:,Can. Life bldg.,,"Can. Life bldg., Toronto, Ontario, Canada"
TORONTO,Milligen & Russell,Real Estate:,,347 Broadview,"347 Broadview, Toronto, Ontario, Canada"
TORONTO,J. S. Milligan,Real Estate:,,69 Dearbourne ave.,"69 Dearbourne ave., Toronto, Ontario, Canada"
TORONTO,H. S. Mitchell,Real Estate:,,127 Harbord,"127 Harbord, Toronto, Ontario, Canada"
TORONTO,D. E. Moore,Real Estate:,,344 Shaw,"344 Shaw, Toronto, Ontario, Canada"
TORONTO,John T. Moore,Real Estate:,,221 St. Johns rd.,"221 St. Johns rd., Toronto, Ontario, Canada"
TORONTO,Morine & Co.,Real Estate:,Kent bldg.,,"Kent bldg., Toronto, Ontario, Canada"
TORONTO,E. D. Morris,Real Estate:,,2180 Queen E.,"2180 Queen E., Toronto, Ontario, Canada"
TORONTO,P. Morris,Real Estate:,,1026 Dundas,"1026 Dundas, Toronto, Ontario, Canada"
TORONTO,W. A. Morrison,Real Estate:,,1618 Queen,"1618 Queen, Toronto, Ontario, Canada"
TORONTO,Morrow & Davis,Real Estate:,,75 Yonge,"75 Yonge, Toronto, Ontario, Canada"
TORONTO,Moylett & Baily,Real Estate:,,43 Victoria,"43 Victoria, Toronto, Ontario, Canada"
TORONTO,Mulholland & Co.,Real Estate:,McKinnon bldg.,,"McKinnon bldg., Toronto, Ontario, Canada"
TORONTO,"Mussen-Peacey, Ltd.",Real Estate:,Lumsden bldg.,,"Lumsden bldg., Toronto, Ontario, Canada"
TORONTO,"National Land Co., Ltd.",Real Estate:,,368 Yonge,"368 Yonge, Toronto, Ontario, Canada"
TORONTO,"National Rlty. Co., Ltd.",Real Estate:,,644 College,"644 College, Toronto, Ontario, Canada"
TORONTO,"National Trust Co., Ltd.",Real Estate:,,22 King E.,"22 King E., Toronto, Ontario, Canada"
TORONTO,John New,Real Estate:,,127 Bay,"127 Bay, Toronto, Ontario, Canada"
TORONTO,J. G. Newsome,Real Estate:,,Yonge arc.,"Yonge arc., Toronto, Ontario, Canada"
TORONTO,Noller Rlty. Co.,Real Estate:,,71 Adelaide E.,"71 Adelaide E., Toronto, Ontario, Canada"
TORONTO,North Rlty. Co.,Real Estate:,,Yonge & Eglinton ave.,"Yonge & Eglinton ave., Toronto, Ontario, Canada"
TORONTO,John H. Notter,Real Estate:,,1076 Bloor W.,"1076 Bloor W., Toronto, Ontario, Canada"
TORONTO,"Ontario Sec. Co., Ltd.",Real Estate:,McKinnon bldg.,,"McKinnon bldg., Toronto, Ontario, Canada"
TORONTO,Oster & Newton,Real Estate:,,301½ Dundas,"301½ Dundas, Toronto, Ontario, Canada"
TORONTO,Parkdale R. E. Co.,Real Estate:,,1251 Queen W.,"1251 Queen W., Toronto, Ontario, Canada"
TORONTO,Parkinson & Robarts,Real Estate:,,43 Victoria,"43 Victoria, Toronto, Ontario, Canada"
TORONTO,"Paton, Linton & Bateman",Real Estate:,,351 Spadina,"351 Spadina, Toronto, Ontario, Canada"
TORONTO,Perry & Corlett,Real Estate:,,264 George,"264 George, Toronto, Ontario, Canada"
TORONTO,Perry & Perry,Real Estate:,Can. Life bldg.,,"Can. Life bldg., Toronto, Ontario, Canada"
TORONTO,Perry & Tuck,Real Estate:,,1012 Bloor W.,"1012 Bloor W., Toronto, Ontario, Canada"
TORONTO,Seadding & Co.,Real Estate:,,2179 Queen E.,"2179 Queen E., Toronto, Ontario, Canada"
TORONTO,J. C. Scott,Real Estate:,,1902 Dundas,"1902 Dundas, Toronto, Ontario, Canada"
TORONTO,R. M. Scott & Sons,Real Estate:,,375 Dovercourt rd.,"375 Dovercourt rd., Toronto, Ontario, Canada"
TORONTO,Scott & Co.,Real Estate:,,898 Bloor W.,"898 Bloor W., Toronto, Ontario, Canada"
TORONTO,S. J. Sharp & Co.,Real Estate:,,19 Adelaide E.,"19 Adelaide E., Toronto, Ontario, Canada"
TORONTO,I. N. Sharpe & Son,Real Estate:,,1527 Dundas,"1527 Dundas, Toronto, Ontario, Canada"
TORONTO,Sheerin & Gilmore,Real Estate:,,1070 Bathurst,"1070 Bathurst, Toronto, Ontario, Canada"
TORONTO,Richard Simpson,Real Estate:,,14 Richmond E.,"14 Richmond E., Toronto, Ontario, Canada"
TORONTO,J. J. Wesley Simpson,Real Estate:,,888 Manning ave.,"888 Manning ave., Toronto, Ontario, Canada"
TORONTO,Ramsey E. Sinclair,Real Estate:,,567 Bloor W.,"567 Bloor W., Toronto, Ontario, Canada"
TORONTO,Sinclair & Sinclair,Real Estate:,,75 Victoria,"75 Victoria, Toronto, Ontario, Canada"
TORONTO,J. Singer,Real Estate:,,133 Queen W.,"133 Queen W., Toronto, Ontario, Canada"
TORONTO,Jas. Skelton,Real Estate:,,1 Carlton,"1 Carlton, Toronto, Ontario, Canada"
TORONTO,George E. Small,Real Estate:,,438 King W.,"438 King W., Toronto, Ontario, Canada"
TORONTO,Sidney Small,Real Estate:,,20 Adelaide E.,"20 Adelaide E., Toronto, Ontario, Canada"
TORONTO,A. H. Smith,Real Estate:,Traders Bank bldg.,,"Traders Bank bldg., Toronto, Ontario, Canada"
TORONTO,F. J. Smith & Co.,Real Estate:,,61 Victoria,"61 Victoria, Toronto, Ontario, Canada"
TORONTO,Somers & Butler,Real Estate:,,572 College,"572 College, Toronto, Ontario, Canada"
TORONTO,A. B. Sorley,Real Estate:,,67 Victoria,"67 Victoria, Toronto, Ontario, Canada"
TORONTO,Standard Rlty. Co.,Real Estate:,,686 Bloor W.,"686 Bloor W., Toronto, Ontario, Canada"
TORONTO,J. P. Standish,Real Estate:,,1778 Dundas,"1778 Dundas, Toronto, Ontario, Canada"
TORONTO,Star Rlty. Co.,Real Estate:,,101 Victoria,"101 Victoria, Toronto, Ontario, Canada"
TORONTO,John Stark & Co.,Real Estate:,,26 Toronto,"26 Toronto, Toronto, Ontario, Canada"
