City,Company Name or Owners's Name,Company Type,building,address,full_address
EDMONTON,Allan R. Gillies,Real Estate:,,610 2nd st.,"610 2nd st., Edmonton, Alberta, Canada"
EDMONTON,D. J. Gilmurray,Real Estate:,,"40 Jasper, E.","40 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,Great West Land Co.,Real Estate:,,"43 Jasper, E.","43 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,Grierson & Irvine,Real Estate:,,49 Fraser,"49 Fraser, Edmonton, Alberta, Canada"
EDMONTON,Hager & Richardson,Real Estate:,,"39 Jasper, E.","39 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,"Haggerty & Hall, Ltd.",Real Estate:,,797 1st st.,"797 1st st., Edmonton, Alberta, Canada"
EDMONTON,F. G. Haldane:,Real Estate:,,"356 Jasper, E.","356 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,"Harman, Scott & Co.",Real Estate:,,,
EDMONTON,"International Finance Co., Ltd.",Real Estate:,,,
EDMONTON,"St. Geo. Jellett,",Real Estate:,,"344 Jas., E.","344 Jas., E., Edmonton, Alberta, Canada"
EDMONTON,W. D. Jones & Son,Real Estate:,,"865 1st st., N.","865 1st st., N., Edmonton, Alberta, Canada"
EDMONTON,Kilgour & Little,Real Estate:,,"119 Jasper, W.","119 Jasper, W., Edmonton, Alberta, Canada"
EDMONTON,Killen & Gilbert,Real Estate:,,546 First st.,"546 First st., Edmonton, Alberta, Canada"
EDMONTON,C. J. Kirk,Real Estate:,Windsor blk.,,"Windsor blk., Edmonton, Alberta, Canada"
EDMONTON,Land Titles Office,Real Estate:,,Victoria ave.,"Victoria ave., Edmonton, Alberta, Canada"
EDMONTON,Lane & Scarth,Real Estate:,,"42 Jasper, W.","42 Jasper, W., Edmonton, Alberta, Canada"
EDMONTON,Larue & Picard,Real Estate:,,"248 Jasper, E.","248 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,Lowe & Carpenter,Real Estate:,,"131 Jasper, W.","131 Jasper, W., Edmonton, Alberta, Canada"
EDMONTON,F. C. Lowes & Co.,Real Estate:,,"28 Jasper, E.","28 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,Lundy-McLeod Co.,Real Estate:,Garrieny blk.,,"Garrieny blk., Edmonton, Alberta, Canada"
EDMONTON,McEachern Bros.,Real Estate:,,"324 Jasper, E.","324 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,McGeorge & Chauvin,Real Estate:,,"113 Jasper, E.","113 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,J. R. McIntosh,Real Estate:,,"24 Jasper, W.","24 Jasper, W., Edmonton, Alberta, Canada"
EDMONTON,"McMannus Bros, & Prothero",Real Estate:,,"114 Jas., W.","114 Jas., W., Edmonton, Alberta, Canada"
EDMONTON,"McNamara, Ltd.",Real Estate:,,,
EDMONTON,Magrath-Hart Co.,Real Estate:,,"44 Jasper, E.","44 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,Jno. M. Maguire,Real Estate:,,"293 Jasper, Е.","293 Jasper, Е., Edmonton, Alberta, Canada"
EDMONTON,H. Milton Martin,Real Estate:,,,
EDMONTON,Chas. May & Co.,Real Estate:,,,
EDMONTON,Clifford C. Mitchell,Real Estate:,,,
EDMONTON,Z. W. Mitchell,Real Estate:,,"240 Jasper, E.","240 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,Geo. S. Montgomery,Real Estate:,,"7 Jasper, E.","7 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,Jno. Morris:,Real Estate:,,132 McDougall,"132 McDougall, Edmonton, Alberta, Canada"
EDMONTON,Moser & Ryder,Real Estate:,,"30 Jasper, E.","30 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,L. T. Murray,Real Estate:,,224 Jasper. E.,"224 Jasper. E., Edmonton, Alberta, Canada"
EDMONTON,North American R. E. Co.,Real Estate:,,Craig-Nair,"Craig-Nair, Edmonton, Alberta, Canada"
EDMONTON,North End Rity. Co.,Real Estate:,,234 Norwood blvd.,"234 Norwood blvd., Edmonton, Alberta, Canada"
EDMONTON,Northern Colonization Agcy.,Real Estate:,,634 1st st.,"634 1st st., Edmonton, Alberta, Canada"
EDMONTON,Palmer & McIntyre,Real Estate:,,"133 Jasper, W.","133 Jasper, W., Edmonton, Alberta, Canada"
EDMONTON,"Peace River Colleries, Ltd",Real Estate:,,,
EDMONTON,Pearse & Pearse,Real Estate:,,"232 Jasper, Е.","232 Jasper, Е., Edmonton, Alberta, Canada"
EDMONTON,Perkins & Hamilton,Real Estate:,,,
EDMONTON,Rolfe & Kenwood,Real Estate:,,36 Jasper. E.,"36 Jasper. E., Edmonton, Alberta, Canada"
EDMONTON,Jno. Ross & Son.,Real Estate:,Windsor blk.,,"Windsor blk., Edmonton, Alberta, Canada"
EDMONTON,M. Runnalls & Co.,Real Estate:,,"140 Jasner, W.","140 Jasner, W., Edmonton, Alberta, Canada"
EDMONTON,"Sandeman-Cope Co., Ltd.",Real Estate:,Windsor blk.,,"Windsor blk., Edmonton, Alberta, Canada"
EDMONTON,Seton-Smith Co.,Real Estate:,,63 McDougall,"63 McDougall, Edmonton, Alberta, Canada"
EDMONTON,Starke & Franklin,Real Estate:,,39 Jasper. W.,"39 Jasper. W., Edmonton, Alberta, Canada"
EDMONTON,E. J. Taylor & Co.,Real Estate:,,632 1st st.,"632 1st st., Edmonton, Alberta, Canada"
EDMONTON,R. Tegler,Real Estate:,,318 Jasper. E.,"318 Jasper. E., Edmonton, Alberta, Canada"
EDMONTON,F. Fraser Tims,Real Estate:,,120 McDougall,"120 McDougall, Edmonton, Alberta, Canada"
EDMONTON,S. Touchette,Real Estate:,,1st st.,"1st st., Edmonton, Alberta, Canada"
EDMONTON,J. J. Tull,Real Estate:,,522 Namavo,"522 Namavo, Edmonton, Alberta, Canada"
EDMONTON,Twin City Rlty. Co.,Real Estate:,,13 Jasper. W.,"13 Jasper. W., Edmonton, Alberta, Canada"
EDMONTON,A. E. Vover,Real Estate:,,Queens ave.,"Queens ave., Edmonton, Alberta, Canada"
EDMONTON,S. S. Walker & Co.,Real Estate:,,"374 Jasper, E.","374 Jasper, E., Edmonton, Alberta, Canada"
EDMONTON,Watson & Co.,Real Estate:,,126 Jasper. W.,"126 Jasper. W., Edmonton, Alberta, Canada"
EDMONTON,"Western Lands, Ltd.",Real Estate:,,215 Jasper. W.,"215 Jasper. W., Edmonton, Alberta, Canada"
EDMONTON,"Western Rity. Co., Ltd.",Real Estate:,,215 Jasper. E,"215 Jasper. E, Edmonton, Alberta, Canada"
EDMONTON,Whites R. E. & Imp. Bureau,Real Estate:,,643 1st st.,"643 1st st., Edmonton, Alberta, Canada"
EDMONTON,"Windsor Rity. Co., Ltd.",Real Estate:,,572 1st st.,"572 1st st., Edmonton, Alberta, Canada"
EDMONTON,York & McNamara,Real Estate:,,"44 Jasper, W.","44 Jasper, W., Edmonton, Alberta, Canada"
